,Product_Name,Current_Price,Ratings,Discounts
60,Samsung 123cm (49 inch) Full HD LED Smart TV,"₹44,999",4.5,39% off
61,Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV,"₹25,599",4.3,17% off
62,Samsung The Frame 138cm (55 inch) Ultra HD (4K) QLED Smart TV,"₹82,999",4.6,38% off
63,Samsung 109.2cm (43 inch) Ultra HD (4K) LED Smart TV,"₹42,900",4.3,38% off
64,Samsung N5470 108cm (43 inch) Full HD LED Smart TV,"₹39,999",4.7,19% off
65,Samsung 124.4cm (49 inch) Ultra HD (4K) LED Smart TV,"₹57,990",4.6,27% off
66,Samsung Super 6 125cm (50 inch) Ultra HD (4K) LED Smart TV,"₹46,999",4.4,50% off
67,Samsung 139.7cm (55 inch) Ultra HD (4K) LED Smart TV,"₹59,990",4.7,38% off
68,Samsung 163cm (65 inch) Ultra HD (4K) LED Smart TV,"₹89,999",4.7,39% off
69,Samsung 139.7cm (55 inch) Ultra HD (4K) LED Smart TV,"₹54,990",4.2,47% off
70,Samsung N4200 80cm (32 inch) HD Ready LED Smart TV,"₹22,499",4.3,9% off
71,Samsung 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹50,199",4.6,26% off
72,Samsung 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹46,430",4.4,22% off
73,Samsung 138cm (55 inch) Ultra HD (4K) LED Smart TV,"₹71,990",4.8,34% off
74,Samsung 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹42,999",4.2,44% off
75,Samsung Q60RAK 123cm (49 inch) Ultra HD (4K) QLED Smart TV,"₹68,480",4.6,31% off
76,Samsung 4 80cm (32 inch) HD Ready LED TV,"₹23,499",3.8,9% off
77,Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV,"₹20,399",4.3,15% off
78,LG All-in-One 80cm (32 inch) HD Ready LED Smart TV,"₹14,999",4.3,34% off
79,LG All-in-One 108cm (43 inch) Full HD LED Smart TV,"₹28,999",4.3,38% off
80,LG 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.3,31% off
81,LG All-in-One 126cm (50 inch) Ultra HD (4K) LED Smart TV,"₹44,999",4.3,35% off
82,LG 139cm (55 inch) Ultra HD (4K) LED Smart TV,"₹58,999",4.5,30% off
